max_depth,subsample,colsample_bytree,n_estimators,gamma,learning_rate,accuracy
2,1.0,0.9,100,0.1,0.01,0.7015180700788847
2,1.0,0.9,100,0.1,0.1,0.6971754854941425
2,1.0,0.9,100,0.1,0.3,0.6863229551589486
2,1.0,0.9,100,0.2,0.01,0.7015180700788847
2,1.0,0.9,100,0.2,0.1,0.6971754854941425
2,1.0,0.9,100,0.2,0.3,0.6852386193883166
2,1.0,0.9,200,0,0.01,0.70007207065545
2,1.0,0.9,200,0,0.1,0.6979020887386325
2,1.0,0.9,200,0,0.3,0.684514636894934
2,1.0,0.9,200,0.1,0.01,0.70007207065545
2,1.0,0.9,200,0.1,0.1,0.6964554341274211
2,1.0,0.9,200,0.1,0.3,0.684514636894934
2,1.0,0.9,200,0.2,0.01,0.70007207065545
2,1.0,0.9,200,0.2,0.1,0.6964554341274211
2,1.0,0.9,200,0.2,0.3,0.6848749901721833
2,1.0,0.9,300,0,0.01,0.7015200356422151
2,1.0,0.9,300,0,0.1,0.6960931152868411
2,1.0,0.9,300,0,0.3,0.6801681211835311
2,1.0,0.9,300,0.1,0.01,0.7015200356422151
2,1.0,0.9,300,0.1,0.1,0.6950081243284325
2,1.0,0.9,300,0.1,0.3,0.6794447938779253
2,1.0,0.9,300,0.2,0.01,0.7015200356422151
2,1.0,0.9,300,0.2,0.1,0.6946464606756296
2,1.0,0.9,300,0.2,0.3,0.6834276803731949
2,1.0,1.0,100,0,0.01,0.7015180700788847
2,1.0,1.0,100,0,0.1,0.6993467777865137
2,1.0,1.0,100,0,0.3,0.6856002830411196
2,1.0,1.0,100,0.1,0.01,0.7015180700788847
2,1.0,1.0,100,0.1,0.1,0.7004317687449223
2,1.0,1.0,100,0.1,0.3,0.6856002830411196
2,1.0,1.0,100,0.2,0.01,0.7015180700788847
2,1.0,1.0,100,0.2,0.1,0.7004317687449223
2,1.0,1.0,100,0.2,0.3,0.6856002830411196
2,1.0,1.0,200,0,0.01,0.6989870796970411
2,1.0,1.0,200,0,0.1,0.6946471158634064
2,1.0,1.0,200,0,0.3,0.6845152920827109
2,1.0,1.0,200,0.1,0.01,0.6989870796970411
2,1.0,1.0,200,0.1,0.1,0.6953704431690124
2,1.0,1.0,200,0.1,0.3,0.6841542836176848
2,1.0,1.0,200,0.2,0.01,0.6989870796970411
2,1.0,1.0,200,0.2,0.1,0.6953704431690124
2,1.0,1.0,200,0.2,0.3,0.6841542836176848
2,1.0,1.0,300,0,0.01,0.6997117173782006
2,1.0,1.0,300,0,0.1,0.6895812039730587
2,1.0,1.0,300,0,0.3,0.6819803705742066
2,1.0,1.0,300,0.1,0.01,0.6997117173782006
2,1.0,1.0,300,0.1,0.1,0.6921128495426789
2,1.0,1.0,300,0.1,0.3,0.6852399297638703
2,1.0,1.0,300,0.2,0.01,0.6997117173782006
2,1.0,1.0,300,0.2,0.1,0.6921128495426789
2,1.0,1.0,300,0.2,0.3,0.6794533113190241
