max_depth,subsample,colsample_bytree,n_estimators,gamma,learning_rate,brier_score
3,0.9,1.0,200,0.1,0.3,0.22707904482538335
3,0.9,1.0,200,0.2,0.01,0.19737844046109754
3,0.9,1.0,200,0.2,0.1,0.20474680803521222
3,0.9,1.0,200,0.2,0.3,0.22599162468991318
3,0.9,1.0,300,0,0.01,0.19650555047555224
3,0.9,1.0,300,0,0.1,0.2078326023594128
3,0.9,1.0,300,0,0.3,0.23391958042544908
3,0.9,1.0,300,0.1,0.01,0.19650550393164173
3,0.9,1.0,300,0.1,0.1,0.20527303131376132
3,0.9,1.0,300,0.1,0.3,0.2353281342551044
3,0.9,1.0,300,0.2,0.01,0.19650550393164173
3,0.9,1.0,300,0.2,0.1,0.2088518597912107
3,0.9,1.0,300,0.2,0.3,0.23524862251668105
3,1.0,0.8,200,0,0.01,0.1970314278843196
3,1.0,0.8,200,0,0.1,0.20083748403175536
3,1.0,0.8,200,0,0.3,0.22233019338679472
3,1.0,0.8,200,0.1,0.01,0.1970314278843196
3,1.0,0.8,200,0.1,0.1,0.20011496548392071
3,1.0,0.8,200,0.1,0.3,0.2208279565136187
3,1.0,0.8,200,0.2,0.01,0.1970314278843196
3,1.0,0.8,200,0.2,0.1,0.20044390504690032
3,1.0,0.8,200,0.2,0.3,0.22354439776677068
3,1.0,0.8,300,0,0.01,0.19646072043347357
3,1.0,0.8,300,0,0.1,0.20487651512195768
3,1.0,0.8,300,0,0.3,0.23182500079870919
3,1.0,0.8,300,0.1,0.01,0.19646072043347357
3,1.0,0.8,300,0.1,0.1,0.20416163495401532
3,1.0,0.8,300,0.1,0.3,0.22972124356209817
3,1.0,0.8,300,0.2,0.01,0.19646072043347357
3,1.0,0.8,300,0.2,0.1,0.2056724716049955
3,1.0,0.8,300,0.2,0.3,0.23259372716317292
3,1.0,0.9,200,0,0.01,0.197036535799747
3,1.0,0.9,200,0,0.1,0.20169895199188131
3,1.0,0.9,200,0,0.3,0.2240253122579865
3,1.0,0.9,200,0.1,0.01,0.197036535799747
3,1.0,0.9,200,0.1,0.1,0.20204506553818158
3,1.0,0.9,200,0.1,0.3,0.22400677789340234
3,1.0,0.9,200,0.2,0.01,0.197036535799747
3,1.0,0.9,200,0.2,0.1,0.20141175514391127
3,1.0,0.9,200,0.2,0.3,0.22038850084305922
3,1.0,0.9,300,0,0.01,0.19649851123997347
3,1.0,0.9,300,0,0.1,0.20512175118365103
3,1.0,0.9,300,0,0.3,0.23486027577050167
3,1.0,0.9,300,0.1,0.01,0.19649851123997347
3,1.0,0.9,300,0.1,0.1,0.2054694080240639
3,1.0,0.9,300,0.1,0.3,0.2332119861015364
3,1.0,0.9,300,0.2,0.01,0.19649851123997347
3,1.0,0.9,300,0.2,0.1,0.20572011446492539
3,1.0,0.9,300,0.2,0.3,0.23181141513059972
3,1.0,1.0,200,0,0.01,0.19702493702489735
3,1.0,1.0,200,0,0.1,0.20034642083352655
3,1.0,1.0,200,0,0.3,0.22418718805055682
3,1.0,1.0,200,0.1,0.01,0.19702493702489735
3,1.0,1.0,200,0.1,0.1,0.2006334252057806
3,1.0,1.0,200,0.1,0.3,0.22463157050671123
3,1.0,1.0,200,0.2,0.01,0.19702493702489735
3,1.0,1.0,200,0.2,0.1,0.2017124270113972
3,1.0,1.0,200,0.2,0.3,0.2223569684649535
3,1.0,1.0,300,0,0.01,0.19658352705417675
3,1.0,1.0,300,0,0.1,0.2055276679261569
3,1.0,1.0,300,0,0.3,0.23631675717450157
3,1.0,1.0,300,0.1,0.01,0.19658352705417675
3,1.0,1.0,300,0.1,0.1,0.2054871158456825
3,1.0,1.0,300,0.1,0.3,0.2335836970597339
3,1.0,1.0,300,0.2,0.01,0.19658352705417675
3,1.0,1.0,300,0.2,0.1,0.2059554958830733
3,1.0,1.0,300,0.2,0.3,0.23220463531447932
